Date,BTC-USD,EEM,ETH-USD,EWZ,GLD,ILF,SPY,USO,BTC-USD_ret,ETH-USD_ret,SPY_ret,EEM_ret,ILF_ret,EWZ_ret,GLD_ret,USO_ret
2021-01-01,29374.15234375,,730.3675537109375,,,,,,,,,,,,,
2021-01-02,32127.267578125,,774.5349731445312,,,,,,0.08959001114880642,0.05871490894439917,,,,,,
2021-01-03,32782.0234375,,975.5076904296875,,,,,,0.020175172403393154,0.23069522900113032,,,,,,
2021-01-04,31971.9140625,46.0319938659668,1040.2330322265625,24.390735626220703,182.3300018310547,20.262096405029297,342.4369201660156,32.380001068115234,-0.02502246735581663,0.0642419928748038,,,,,,
2021-01-05,33992.4296875,47.138519287109375,1100.006103515625,24.53080177307129,182.8699951171875,20.483163833618164,344.79541015625,33.939998626708984,0.06128001171320478,0.05587097093740991,0.006863761046860846,0.023753812496304212,0.01085130376041527,0.005726170395119178,0.0029572490918935946,0.04705323810739285
2021-01-06,36824.36328125,46.740169525146484,1207.1121826171875,24.43075942993164,179.89999389648438,20.711139678955078,346.8567810058594,34.11000061035156,0.08002182823088061,0.0929151527017415,0.005960732805820846,-0.008486529963337833,0.011068431959749662,-0.004086572401195613,-0.016374384156319522,0.004996394980416393
2021-01-07,39371.04296875,47.18279266357422,1225.6781005859375,24.78424835205078,179.47999572753906,20.96674346923828,352.0102233886719,34.529998779296875,0.06687092425852742,0.015263361201059275,0.014748258999199728,0.009425307823839072,0.012265833848293755,0.014365333541266711,-0.0023373497260989994,0.012237861725762293
2021-01-08,40797.609375,48.43096160888672,1224.1971435546875,25.14440155029297,173.33999633789062,21.146364212036133,354.01580810546875,35.43000030517578,0.0355928898794487,-0.0012090062260797856,0.005681348907751613,0.026110047952863487,0.008530447735380253,0.014426965107280625,-0.03480879472366203,0.025730451440923834
2021-01-09,40254.546875,,1281.0772705078125,,,,,,-0.01340052262051337,0.045416105438041254,,,,,,
2021-01-10,38356.44140625,,1262.2467041015625,,,,,,-0.04830048595686678,-0.014808109930461662,,,,,,
2021-01-11,35566.65625,47.77588653564453,1090.1453857421875,24.284029006958008,173.0,20.61441993713379,351.62945556640625,35.2599983215332,-0.07551390060372581,-0.14658216286240672,,,,,,
2021-01-12,33922.9609375,48.24506759643555,1043.4345703125,25.391183853149414,174.1199951171875,21.11872673034668,351.7037048339844,35.900001525878906,-0.0473164778588287,-0.04379332533636267,0.00021113541073965352,0.009772550148709444,0.024169341771629067,0.04458312962234649,0.006453094143516468,0.01798820863067492
2021-01-13,37316.359375,48.35129165649414,1130.7393798828125,24.890958786010742,173.3699951171875,20.711139678955078,352.6509094238281,35.79999923706055,0.09533972073625589,0.0803539938065793,0.0026895689803381815,0.00219933967901293,-0.019488465368805212,-0.019897384808169473,-0.004316677807613859,-0.0027894659023265257
2021-01-14,39187.328125,48.802757263183594,1218.4530029296875,25.7513370513916,173.27999877929688,21.25689697265625,351.41583251953125,36.2400016784668,0.048921612778852486,0.07471028649725438,-0.0035084121933190156,0.009293876299743533,0.02600970186722141,0.03398191351749004,-0.0005192346256867747,0.01221565539459009
2021-01-15,36825.3671875,48.112274169921875,1171.8345947265625,24.604167938232422,171.1300048828125,20.46934700012207,348.8531188964844,35.34000015258789,-0.06216649897230796,-0.03901147331331257,-0.007319259431874474,-0.014249487751079317,-0.03775290730185969,-0.04557069311723011,-0.012485246085867416,-0.025148056280825566
2021-01-16,36178.140625,,1233.53759765625,,,,,,-0.017731847143619858,0.05131558657436923,,,,,,
2021-01-17,35791.27734375,,1230.1722412109375,,,,,,-0.010750872199338055,-0.0027319439045435886,,,,,,
2021-01-18,36630.07421875,,1257.279541015625,,,,,,0.02316538885922865,0.02179609924113147,,,,,,
2021-01-19,36069.8046875,48.908992767333984,1377.2958984375,24.4641056060791,172.5800018310547,20.441713333129883,351.5923156738281,35.75,-0.015413522880192659,0.09117179063699767,,,,,,
2021-01-20,35547.75,49.76766586303711,1382.2740478515625,24.45076560974121,175.38999938964844,20.420988082885742,356.4579162597656,35.790000915527344,-0.014579216975338103,0.003607920734780844,0.013743875664545808,0.017404212552912374,-0.0010143848205379938,-0.0005454372601638484,0.016151154600027997,0.001118281218452246
2021-01-21,30825.69921875,49.8561897277832,1121.5709228515625,23.99723243713379,175.27999877929688,20.068660736083984,356.7829284667969,35.7599983215332,-0.14252813081835994,-0.20899969144053393,0.0009113674067610186,0.0017771624581259025,-0.017403768622550084,-0.01872302013325899,-0.0006273739671711188,-0.0008386469901476758
2021-01-22,33005.76171875,49.42242431640625,1236.51220703125,23.370290756225586,173.89999389648438,19.674888610839844,355.5201110839844,35.22999954223633,0.06833341147530216,0.09756436791809889,-0.003545734429674202,-0.008738401028880342,-0.019816298108909586,-0.026472918675570483,-0.007904302060517928,-0.014931924008750838
2021-01-23,32067.642578125,,1230.9906005859375,,,,,,-0.028834641394269323,-0.004475468594939273,,,,,,
2021-01-24,32289.37890625,,1391.609375,,,,,,0.006890847351743181,0.122641689541714,,,,,,
2021-01-25,32366.392578125,49.79421615600586,1324.414794921875,23.02347183227539,174.0500030517578,19.426189422607422,356.9222106933594,35.59000015258789,0.0023822686367903426,-0.04949020345671179,,,,,,
2021-01-26,32569.849609375,49.4312744140625,1357.05810546875,23.603727340698242,173.6199951171875,19.612712860107422,356.3650817871094,35.45000076293945,0.006266383460683916,0.024348501333298012,-0.0015621448059427087,-0.007315526655178308,0.009555845371878523,0.024890427720786954,-0.002473656951145883,-0.0039414293097817625
2021-01-27,30432.546875,48.05916213989258,1253.1871337890625,23.210222244262695,172.52000427246094,19.156768798828125,347.6553039550781,35.5,-0.06787434522440919,-0.07962918564204995,-0.02474423299002111,-0.028150512655339098,-0.023521856034629366,-0.016811842118554625,-0.006355778295441206,0.0014094219816694934
2021-01-28,33466.09765625,48.39554977416992,1332.4921875,23.67042350769043,172.67999267578125,19.49527359008789,350.64520263671875,35.25,0.0950202595471698,0.061361000644112124,0.008563410522160449,0.006975066151063128,0.017515940941982045,0.019633519929679846,0.000926931727635592,-0.007067167223092443
2021-01-29,34316.38671875,47.19164276123047,1382.5228271484375,22.803373336791992,172.61000061035156,18.762990951538086,343.6254577636719,35.18000030517578,0.025090070847817985,0.0368589517765382,-0.020222614900226348,-0.02519104590945777,-0.038285692940583864,-0.037317837152505556,-0.0004054103376829626,-0.0019877812741702352
2021-01-30,34269.5234375,,1376.115478515625,,,,,,-0.0013665573129015413,-0.004645306448184236,,,,,,
2021-01-31,33114.359375,,1314.9862060546875,,,,,,-0.034289423389572346,-0.04543848344717139,,,,,,
2021-02-01,33537.17578125,48.466373443603516,1369.04052734375,23.290254592895508,174.22999572753906,19.274206161499023,349.3453369140625,36.119998931884766,0.0126875420679964,0.0402839735968884,,,,,,
2021-02-02,35510.2890625,49.094879150390625,1515.1937255859375,23.79714584350586,172.11000061035156,19.571266174316406,354.2850646972656,36.81999969482422,0.057167938879420434,0.10143315298098682,0.014040919568495448,0.012884508653467975,0.015294745351281589,0.021530635682561826,-0.012242430084677477,0.019194468539128602
2021-02-03,37472.08984375,49.342750549316406,1660.9095458984375,24.030582427978516,171.85000610351562,19.64725685119629,354.5636901855469,37.439998626708984,0.053773897801538996,0.09182206907112031,0.0007861352671113902,0.005036121320040275,0.003875249046474197,0.009761636045796631,-0.0015117720158050482,0.016698447412993093
